,city,latitude,longitude,dist_to_road,dist_to_industry,dist_to_dump,dist_to_farmland,datetimeUtc,co,no2,o3,pm10,pm25,so2,datetime_hour,Temperature,Humidity,Wind Speed,Wind Direction
0,"Fort William, Kolkata - WBPCB",22.55664,88.342674,219.2165069884224,1720.6592491742322,4366.00526727844,6441.028123147004,2025-02-18 20:15:00+00:00,0.584,37.3,45.37,70.0,32.88,5.34,2025-02-18 20:00:00+00:00,21.2,93,4.0,201
1,"Fort William, Kolkata - WBPCB",22.55664,88.342674,219.2165069884224,1720.6592491742322,4366.00526727844,6441.028123147004,2025-02-18 20:30:00+00:00,0.676,36.2,45.92,72.08,33.88,4.71,2025-02-18 20:00:00+00:00,21.2,93,4.0,201
2,"Fort William, Kolkata - WBPCB",22.55664,88.342674,219.2165069884224,1720.6592491742322,4366.00526727844,6441.028123147004,2025-02-18 20:45:00+00:00,0.695,38.29,40.39,72.08,33.88,6.34,2025-02-18 20:00:00+00:00,21.2,93,4.0,201
3,"Fort William, Kolkata - WBPCB",22.55664,88.342674,219.2165069884224,1720.6592491742322,4366.00526727844,6441.028123147004,2025-02-18 21:00:00+00:00,0.695,42.74,46.41,72.08,33.88,5.67,2025-02-18 21:00:00+00:00,21.1,95,2.7,262
4,"Fort William, Kolkata - WBPCB",22.55664,88.342674,219.2165069884224,1720.6592491742322,4366.00526727844,6441.028123147004,2025-02-18 21:15:00+00:00,0.673,47.44,48.77,73.0,34.31,5.71,2025-02-18 21:00:00+00:00,21.1,95,2.7,262
5,"Fort William, Kolkata - WBPCB",22.55664,88.342674,219.2165069884224,1720.6592491742322,4366.00526727844,6441.028123147004,2025-02-18 21:30:00+00:00,0.639,47.46,40.9,73.78,34.68,5.78,2025-02-18 21:00:00+00:00,21.1,95,2.7,262
6,"Fort William, Kolkata - WBPCB",22.55664,88.342674,219.2165069884224,1720.6592491742322,4366.00526727844,6441.028123147004,2025-02-18 21:45:00+00:00,0.634,46.23,42.06,73.78,34.68,5.32,2025-02-18 21:00:00+00:00,21.1,95,2.7,262
7,"Fort William, Kolkata - WBPCB",22.55664,88.342674,219.2165069884224,1720.6592491742322,4366.00526727844,6441.028123147004,2025-02-18 22:00:00+00:00,0.645,46.99,44.89,73.78,34.68,5.21,2025-02-18 22:00:00+00:00,21.1,95,5.5,328
8,"Fort William, Kolkata - WBPCB",22.55664,88.342674,219.2165069884224,1720.6592491742322,4366.00526727844,6441.028123147004,2025-02-18 22:15:00+00:00,0.67,48.09,29.55,74.67,35.08,5.51,2025-02-18 22:00:00+00:00,21.1,95,5.5,328
9,"Fort William, Kolkata - WBPCB",22.55664,88.342674,219.2165069884224,1720.6592491742322,4366.00526727844,6441.028123147004,2025-02-18 22:30:00+00:00,0.689,46.39,33.76,75.38,35.43,5.64,2025-02-18 22:00:00+00:00,21.1,95,5.5,328
10,"Fort William, Kolkata - WBPCB",22.55664,88.342674,219.2165069884224,1720.6592491742322,4366.00526727844,6441.028123147004,2025-02-18 22:45:00+00:00,0.789,50.22,43.88,75.38,35.43,5.73,2025-02-18 22:00:00+00:00,21.1,95,5.5,328
11,"Fort William, Kolkata - WBPCB",22.55664,88.342674,219.2165069884224,1720.6592491742322,4366.00526727844,6441.028123147004,2025-02-18 23:00:00+00:00,0.768,50.02,36.97,75.38,35.43,5.88,2025-02-18 23:00:00+00:00,20.9,95,4.2,335
12,"Fort William, Kolkata - WBPCB",22.55664,88.342674,219.2165069884224,1720.6592491742322,4366.00526727844,6441.028123147004,2025-02-18 23:15:00+00:00,0.735,49.27,45.77,78.71,37.02,5.45,2025-02-18 23:00:00+00:00,20.9,95,4.2,335
13,"Fort William, Kolkata - WBPCB",22.55664,88.342674,219.2165069884224,1720.6592491742322,4366.00526727844,6441.028123147004,2025-02-18 23:30:00+00:00,0.694,45.81,42.94,81.49,38.3,5.34,2025-02-18 23:00:00+00:00,20.9,95,4.2,335
14,"Fort William, Kolkata - WBPCB",22.55664,88.342674,219.2165069884224,1720.6592491742322,4366.00526727844,6441.028123147004,2025-02-18 23:45:00+00:00,0.703,44.58,45.16,81.49,38.3,5.16,2025-02-18 23:00:00+00:00,20.9,95,4.2,335
