city,latitude,longitude,dist_to_road,dist_to_industry,dist_to_dump,dist_to_farmland
"Raikhad, Ahmedabad - IITM",23.020509,72.579261,187.78796670881627,1239.2729249721829,1660.4364438067646,4665.43609838957
"Golden Temple, Amritsar - PPCB",31.62,74.876512,775.2453272536627,1573.114210941971,1185.7599012972325,3473.460267854064
"City Railway Station, Bengaluru - KSPCB",12.9756843,77.5660749,163.1448565359544,360.7639153252071,717.219941767037,6105.562585654922
"Sector 22, Chandigarh - CPCC",30.735567,76.77571400000001,163.65526853560834,1075.4153002212242,4136.646306968997,10513.456432078256
"Royapuram, Chennai - TNPCB",13.1036,80.2909,18.854725735777627,62.58381648965254,1700.5892281818485,8015.583892268141
"Nehru Nagar, Delhi - DPCC",28.56789,77.250515,245.3183976319867,1919.7739927648588,100000.0,2980.9227999924656
"Udyogamandal, Eloor - Kerala PCB",10.073232,76.302765,69.04013531868414,279.80691696324715,7603.088104018745,1004.4440335375286
"Vikas Sadan, Gurugram - HSPCB",28.4501238,77.0263051,313.2621295081311,1874.5967541163889,3330.4070317351984,1164.290167944756
"New Malakpet, Hyderabad - TSPCB",17.37206,78.50864,705.9548090511271,2188.4792624969014,2888.9284344750577,845.7503900388003
"Old MIDC, Jalna - MPCB",19.854616,75.905894,503.62722735573936,2334.468767108976,30129.2185714778,3609.24176773483
"Fort William, Kolkata - WBPCB",22.55664,88.342674,219.21650698842237,1720.6592491742322,4366.0052672784395,6441.028123147004
"Uchapatti, Madurai - TNPCB",9.865935,78.022669,422.9742241091421,54.58578014105433,40865.632409159516,4803.694879849559
"Kurla, Mumbai - MPCB",19.0863,72.8888,156.10515874903822,303.723735750746,4166.7534072114295,1545.089715265672
"Hebbal 1st Stage, Mysuru - KSPCB",12.21041,76.37376,2672.895312500681,4360.331125880378,30782.935206237093,5166.872806275519
"Karni Colony, Nagaur - RSPCB",27.213494,73.734444,855.72234006723,2885.7998461844827,87584.35197999889,37813.872621152266
"Sector-1, Noida - UPPCB",28.589247,77.321962,809.0259859788146,54.69595754274873,1984.8931451983071,2558.2535073930053
"Jawahar Nagar, Puducherry - PPCC",11.9309,79.8027,690.7537288635733,1117.875589451305,853.2387738395004,661.5245214305487
"Revenue Colony-Shivajinagar, Pune - IITM",18.530085,73.849598,11.838424657980012,483.4092616738045,955.6365058062527,1251.8595602683372
"Rajbagh, Srinagar - JKSPCB",34.06621,74.81982,349.15625006790304,4477.259991266588,2040.2247519092812,1336.4139915466983
"Rajiv Gandhi Park, Vijayawada - APPCB",16.509717,80.612222,109.35031866309583,585.6353532524004,1392.5910260177084,2284.1489854192228
