city,latitude,longitude,datetimeUtc,co,no2,o3,pm10,pm25,so2
"Raikhad, Ahmedabad - IITM",23.020509,72.579261,2025-02-18T20:15:00Z,0.47,83.64,14.27,130.1,72.1,5.53
"Raikhad, Ahmedabad - IITM",23.020509,72.579261,2025-02-18T20:30:00Z,0.51,81.11,15.31,129.8,72.6,5.36
"Raikhad, Ahmedabad - IITM",23.020509,72.579261,2025-02-18T20:45:00Z,0.51,68.79,20.38,127.3,71.6,5.32
"Raikhad, Ahmedabad - IITM",23.020509,72.579261,2025-02-18T21:00:00Z,0.58,63.01,21.86,123.0,70.2,5.1
"Raikhad, Ahmedabad - IITM",23.020509,72.579261,2025-02-18T21:15:00Z,0.6,57.01,22.6,122.7,70.2,4.84
"Raikhad, Ahmedabad - IITM",23.020509,72.579261,2025-02-18T21:30:00Z,0.63,53.84,22.53,124.9,69.9,4.68
"Raikhad, Ahmedabad - IITM",23.020509,72.579261,2025-02-18T21:45:00Z,0.67,52.57,24.13,115.5,63.1,4.64
"Raikhad, Ahmedabad - IITM",23.020509,72.579261,2025-02-18T22:00:00Z,0.68,49.94,24.71,100.6,54.2,4.58
"Raikhad, Ahmedabad - IITM",23.020509,72.579261,2025-02-18T22:15:00Z,0.67,48.38,25.43,101.2,53.0,5.64
"Raikhad, Ahmedabad - IITM",23.020509,72.579261,2025-02-18T22:30:00Z,0.59,47.75,26.52,102.8,51.8,5.88
"Raikhad, Ahmedabad - IITM",23.020509,72.579261,2025-02-18T22:45:00Z,0.51,48.66,27.31,96.2,48.1,6.37
"Raikhad, Ahmedabad - IITM",23.020509,72.579261,2025-02-18T23:00:00Z,0.45,50.86,24.51,87.9,43.6,6.73
"Raikhad, Ahmedabad - IITM",23.020509,72.579261,2025-02-18T23:15:00Z,0.39,50.79,23.6,87.7,43.0,7.48
"Raikhad, Ahmedabad - IITM",23.020509,72.579261,2025-02-18T23:30:00Z,0.3,51.13,22.71,88.3,42.3,7.78
"Raikhad, Ahmedabad - IITM",23.020509,72.579261,2025-02-18T23:45:00Z,0.27,52.65,21.2,88.4,41.8,8.07
"Raikhad, Ahmedabad - IITM",23.020509,72.579261,2025-02-19T00:15:00Z,0.25,60.48,15.13,85.1,40.3,7.99
"Raikhad, Ahmedabad - IITM",23.020509,72.579261,2025-02-19T00:30:00Z,0.33,62.67,14.13,85.5,40.6,10.45
"Raikhad, Ahmedabad - IITM",23.020509,72.579261,2025-02-19T00:45:00Z,0.36,63.26,14.6,93.1,43.8,10.46
"Raikhad, Ahmedabad - IITM",23.020509,72.579261,2025-02-19T01:00:00Z,0.45,63.45,13.35,101.4,47.9,10.44
"Raikhad, Ahmedabad - IITM",23.020509,72.579261,2025-02-19T01:15:00Z,0.54,66.15,10.81,100.6,48.5,9.45
"Raikhad, Ahmedabad - IITM",23.020509,72.579261,2025-02-19T01:30:00Z,0.7,68.06,7.91,101.2,49.1,10.35
"Raikhad, Ahmedabad - IITM",23.020509,72.579261,2025-02-19T01:45:00Z,0.84,70.68,6.27,99.7,49.3,10.45
"Raikhad, Ahmedabad - IITM",23.020509,72.579261,2025-02-19T02:15:00Z,0.98,64.42,16.79,100.0,50.4,9.91
"Raikhad, Ahmedabad - IITM",23.020509,72.579261,2025-02-19T02:30:00Z,1.02,63.25,18.22,99.7,51.0,10.38
"Raikhad, Ahmedabad - IITM",23.020509,72.579261,2025-02-19T02:45:00Z,1.07,66.72,18.57,104.0,53.4,11.85
"Raikhad, Ahmedabad - IITM",23.020509,72.579261,2025-02-19T03:00:00Z,1.15,75.29,16.7,111.4,56.3,13.27
"Raikhad, Ahmedabad - IITM",23.020509,72.579261,2025-02-19T03:15:00Z,1.07,78.3,22.87,112.3,56.8,13.91
"Raikhad, Ahmedabad - IITM",23.020509,72.579261,2025-02-19T03:30:00Z,1.02,84.71,26.6,114.5,57.9,13.88
"Raikhad, Ahmedabad - IITM",23.020509,72.579261,2025-02-19T03:45:00Z,0.95,89.2,27.8,120.7,62.1,13.91
"Raikhad, Ahmedabad - IITM",23.020509,72.579261,2025-02-19T04:15:00Z,0.79,91.82,37.86,127.0,67.8,13.23
"Raikhad, Ahmedabad - IITM",23.020509,72.579261,2025-02-19T04:30:00Z,0.65,84.7,44.58,124.1,68.3,11.84
