city,latitude,longitude,datetimeUtc,co,no2,o3,pm10,pm25,so2,datetime_hour,Temperature,Humidity,Wind Speed,Wind Direction
"Raikhad, Ahmedabad - IITM",23.020509,72.579261,2025-02-18 20:15:00+00:00,0.47,83.64,14.27,130.1,72.1,5.53,2025-02-18 20:00:00+00:00,25.0,35,10.6,302
"Raikhad, Ahmedabad - IITM",23.020509,72.579261,2025-02-18 20:30:00+00:00,0.51,81.11,15.31,129.8,72.6,5.36,2025-02-18 20:00:00+00:00,25.0,35,10.6,302
"Raikhad, Ahmedabad - IITM",23.020509,72.579261,2025-02-18 20:45:00+00:00,0.51,68.79,20.38,127.3,71.6,5.32,2025-02-18 20:00:00+00:00,25.0,35,10.6,302
"Raikhad, Ahmedabad - IITM",23.020509,72.579261,2025-02-18 21:00:00+00:00,0.58,63.01,21.86,123.0,70.2,5.1,2025-02-18 21:00:00+00:00,24.4,37,11.0,298
"Raikhad, Ahmedabad - IITM",23.020509,72.579261,2025-02-18 21:15:00+00:00,0.6,57.01,22.6,122.7,70.2,4.84,2025-02-18 21:00:00+00:00,24.4,37,11.0,298
"Raikhad, Ahmedabad - IITM",23.020509,72.579261,2025-02-18 21:30:00+00:00,0.63,53.84,22.53,124.9,69.9,4.68,2025-02-18 21:00:00+00:00,24.4,37,11.0,298
"Raikhad, Ahmedabad - IITM",23.020509,72.579261,2025-02-18 21:45:00+00:00,0.67,52.57,24.13,115.5,63.1,4.64,2025-02-18 21:00:00+00:00,24.4,37,11.0,298
"Raikhad, Ahmedabad - IITM",23.020509,72.579261,2025-02-18 22:00:00+00:00,0.68,49.94,24.71,100.6,54.2,4.58,2025-02-18 22:00:00+00:00,23.5,40,10.5,301
"Raikhad, Ahmedabad - IITM",23.020509,72.579261,2025-02-18 22:15:00+00:00,0.67,48.38,25.43,101.2,53.0,5.64,2025-02-18 22:00:00+00:00,23.5,40,10.5,301
"Raikhad, Ahmedabad - IITM",23.020509,72.579261,2025-02-18 22:30:00+00:00,0.59,47.75,26.52,102.8,51.8,5.88,2025-02-18 22:00:00+00:00,23.5,40,10.5,301
"Raikhad, Ahmedabad - IITM",23.020509,72.579261,2025-02-18 22:45:00+00:00,0.51,48.66,27.31,96.2,48.1,6.37,2025-02-18 22:00:00+00:00,23.5,40,10.5,301
"Raikhad, Ahmedabad - IITM",23.020509,72.579261,2025-02-18 23:00:00+00:00,0.45,50.86,24.51,87.9,43.6,6.73,2025-02-18 23:00:00+00:00,22.9,42,10.6,310
"Raikhad, Ahmedabad - IITM",23.020509,72.579261,2025-02-18 23:15:00+00:00,0.39,50.79,23.6,87.7,43.0,7.48,2025-02-18 23:00:00+00:00,22.9,42,10.6,310
"Raikhad, Ahmedabad - IITM",23.020509,72.579261,2025-02-18 23:30:00+00:00,0.3,51.13,22.71,88.3,42.3,7.78,2025-02-18 23:00:00+00:00,22.9,42,10.6,310
"Raikhad, Ahmedabad - IITM",23.020509,72.579261,2025-02-18 23:45:00+00:00,0.27,52.65,21.2,88.4,41.8,8.07,2025-02-18 23:00:00+00:00,22.9,42,10.6,310
